Product_Price,Promotion,Product_Category,Store_Location,Shelf_Space,Competitor_Price,Season,Day_of_Week,Units_in_Inventory,Online_Sales,Week_of_Year,units_sold
12.58,1,Electronics,Rural,15.77,12.74,Spring,Sun,127,1,48,248
15.15,0,Food,Urban,9.37,17.39,Summer,Fri,114,1,45,125
13.82,0,Food,Suburban,13.73,15.39,Fall,Wed,92,1,20,124
13.37,0,Clothing,Urban,6.62,11.69,Winter,Mon,95,0,30,106
8.96,1,Housewares,Urban,10.65,8.65,Winter,Thu,164,1,36,196
11.7,0,Food,Urban,11.06,11.97,Spring,Mon,85,0,47,105
15.99,1,Food,Suburban,7.1,15.38,Fall,Sun,141,1,52,264
13.33,0,Food,Urban,5.19,14.9,Winter,Thu,142,0,11,103
15.91,0,Food,Suburban,7.53,15.24,Summer,Sat,84,1,20,113
14.25,0,Food,Urban,7.52,14.63,Summer,Sat,128,0,7,114
9.9,0,Clothing,Suburban,8.39,10.4,Winter,Sun,122,1,4,112
10.25,0,Clothing,Suburban,5.91,9.62,Spring,Fri,94,0,9,106
12.05,0,Clothing,Urban,9.34,10.31,Fall,Fri,119,0,21,117
14.13,1,Clothing,Urban,10.44,13.45,Fall,Thu,112,0,25,237
14.29,1,Food,Rural,13.16,16.42,Summer,Sun,112,0,25,228
13.73,1,Electronics,Suburban,10.81,12.24,Winter,Fri,117,1,16,244
17.17,0,Food,Rural,7.81,18.33,Winter,Sat,103,0,22,95
9.14,0,Electronics,Urban,6.41,8.09,Fall,Sat,76,0,42,111
6.6,0,Clothing,Urban,7.16,7.66,Summer,Fri,118,0,36,96
9.72,1,Clothing,Rural,9.16,9.99,Fall,Wed,102,0,15,188
11.03,1,Housewares,Urban,8.68,11.34,Summer,Thu,66,1,48,222
18.71,0,Electronics,Urban,10.74,19.44,Fall,Sat,119,1,41,122
10.99,0,Clothing,Suburban,5.76,10.25,Winter,Tue,102,0,33,106
11.91,0,Clothing,Rural,7.85,10.4,Spring,Thu,149,1,25,110
10.11,1,Clothing,Urban,9.92,12.69,Fall,Sun,70,0,5,205
9.92,0,Food,Rural,8.22,9.9,Spring,Tue,103,1,41,115
6.83,0,Food,Urban,5.84,6.46,Summer,Tue,166,0,13,88
10.66,0,Housewares,Urban,11.59,10.67,Winter,Tue,206,0,12,103
15.63,0,Electronics,Suburban,8.27,16.37,Winter,Wed,78,0,48,132
10.63,0,Electronics,Urban,10.83,10.09,Fall,Sat,187,0,4,112
17.77,0,Food,Urban,10.94,18.11,Fall,Mon,111,1,24,132
10.12,0,Clothing,Rural,8.85,10.66,Fall,Sat,95,0,45,120
10.31,0,Electronics,Suburban,9.07,10.2,Spring,Thu,96,0,13,109
9.21,0,Food,Rural,3.77,8.94,Spring,Tue,74,0,5,95
17.59,0,Food,Rural,3.27,15.69,Winter,Fri,101,0,4,97
12.82,0,Food,Urban,9.64,13.29,Spring,Mon,127,0,47,93
9.34,1,Housewares,Suburban,5.38,8.23,Winter,Tue,99,1,46,182
12.18,0,Clothing,Suburban,8.7,12.87,Summer,Thu,53,0,25,121
12.11,0,Electronics,Urban,8,12.41,Fall,Thu,121,1,51,132
16.88,0,Food,Suburban,12.66,16.05,Spring,Tue,84,1,33,103
9.51,0,Electronics,Suburban,10.45,12.55,Summer,Mon,74,0,5,120
9.37,1,Electronics,Suburban,6.05,9.37,Summer,Fri,73,1,33,199
15.68,0,Electronics,Urban,12.09,15.12,Fall,Sun,132,0,23,116
14.25,1,Electronics,Urban,15.11,14.86,Winter,Wed,80,0,1,241
9.72,1,Food,Rural,6.49,7.98,Spring,Wed,82,1,30,178
18.71,0,Food,Urban,8.69,17.64,Spring,Fri,52,0,10,86
12.46,0,Housewares,Suburban,6.81,13.43,Fall,Sun,120,0,18,123
10.95,0,Food,Suburban,5.64,12.03,Winter,Thu,85,0,30,105
9.36,0,Food,Suburban,2.29,8.84,Spring,Tue,74,0,9,94
7.7,0,Food,Suburban,4.9,7.33,Spring,Mon,85,0,10,89
8.38,0,Food,Suburban,13.04,11.46,Summer,Thu,144,0,38,100
9.92,0,Food,Suburban,6.81,8.67,Fall,Thu,91,0,19,118
12.86,0,Clothing,Urban,10.55,13.32,Spring,Thu,114,1,33,124
14.48,0,Food,Rural,7.72,13.92,Winter,Fri,55,1,29,107
11.43,0,Housewares,Rural,11.76,11.33,Fall,Mon,63,1,49,126
15.81,1,Food,Suburban,10.14,16.98,Summer,Sun,99,1,36,253
12.93,0,Clothing,Urban,15.91,12.75,Fall,Mon,116,0,20,112
8.74,0,Food,Suburban,8.93,6.3,Summer,Fri,78,1,47,114
11.95,1,Food,Urban,11.18,13.29,Winter,Wed,98,0,14,223
8.89,0,Clothing,Urban,6.66,9.99,Fall,Fri,111,0,39,118
17.73,0,Electronics,Suburban,7.21,16.07,Summer,Thu,104,1,2,97
13.25,0,Food,Suburban,4.76,11.54,Summer,Tue,93,1,21,115
16.54,0,Food,Suburban,11.84,19.16,Winter,Mon,111,1,6,108
9.03,0,Housewares,Suburban,7.81,9.74,Summer,Sun,80,0,34,88
10.93,1,Electronics,Rural,7.14,10.72,Winter,Fri,97,1,36,209
11.27,0,Food,Rural,17.47,8.77,Summer,Sun,263,0,41,103
7.57,0,Food,Urban,7.65,8.1,Spring,Thu,91,0,28,101
11.76,0,Food,Rural,9.74,10.29,Spring,Tue,92,0,18,80
16.29,0,Clothing,Suburban,4.88,15.12,Winter,Thu,130,0,48,94
8.38,0,Housewares,Urban,15.42,7.27,Spring,Sun,137,0,32,103
12.04,1,Electronics,Rural,10.77,14.02,Fall,Thu,154,0,9,235
11.53,1,Electronics,Suburban,12.97,12.41,Fall,Sun,293,0,1,223
11.18,1,Food,Suburban,9.38,10.37,Spring,Tue,65,0,23,203
10.38,0,Electronics,Urban,11.17,8.49,Fall,Thu,102,1,21,112
9.82,0,Food,Urban,7.65,10.62,Fall,Sun,121,0,47,116
10.94,1,Housewares,Urban,10.95,12.09,Winter,Sun,101,0,18,210
8.61,1,Food,Suburban,5.69,8.71,Summer,Mon,85,0,49,166
12.97,0,Electronics,Urban,19.15,13.53,Fall,Fri,109,1,40,128
12.05,1,Food,Suburban,13.61,12.05,Winter,Tue,90,1,50,215
8.63,0,Clothing,Urban,6.48,10.09,Fall,Tue,73,0,28,117
12.01,0,Electronics,Urban,6.94,11.08,Spring,Sat,111,0,29,121
7.9,0,Clothing,Suburban,15.82,8.27,Summer,Sun,153,1,14,125
11.79,0,Electronics,Suburban,8.97,9.86,Fall,Fri,169,0,35,116
14.74,0,Electronics,Suburban,12.16,15.14,Spring,Fri,95,0,49,113
12.02,0,Food,Rural,6.27,11.72,Summer,Sun,73,0,28,113
10.18,0,Housewares,Urban,4.81,9.83,Fall,Wed,161,1,27,118
8.69,0,Clothing,Suburban,22.21,8.24,Fall,Sat,96,0,25,114
9.45,0,Food,Rural,10.14,7.74,Spring,Sun,109,1,47,109
18,1,Food,Rural,9.07,17.64,Winter,Wed,59,0,36,245
9.46,0,Housewares,Urban,4.32,10.08,Fall,Fri,79,1,32,111
11.89,0,Electronics,Suburban,12.05,11.49,Summer,Wed,99,1,4,108
9.4,0,Food,Suburban,8.07,8.41,Spring,Sat,115,0,37,94
15.4,0,Food,Suburban,13.15,16.17,Fall,Tue,146,0,40,108
10.27,0,Clothing,Rural,6.33,9.83,Fall,Sun,71,0,19,103
7.55,0,Clothing,Suburban,12.71,7,Winter,Sun,115,0,30,103
15.39,0,Food,Rural,11.19,15.55,Spring,Sat,136,1,43,114
14.28,1,Housewares,Rural,8.87,16.03,Fall,Sun,127,0,21,239
11.24,0,Food,Urban,7.77,11.55,Summer,Wed,104,1,13,124
10.47,0,Housewares,Suburban,9.62,8.56,Spring,Thu,68,1,8,114
8.88,0,Electronics,Urban,12.23,8.72,Fall,Sat,143,1,40,118
15.72,0,Electronics,Rural,18.46,15.92,Winter,Sat,161,1,41,121
13.71,0,Clothing,Suburban,7.06,14.98,Spring,Thu,136,0,37,118
12.43,1,Housewares,Urban,8.09,12.16,Winter,Sun,85,1,35,224
10.79,0,Housewares,Urban,9.31,12.19,Spring,Wed,96,1,46,110
11.74,0,Food,Suburban,7.48,13.11,Fall,Sat,144,0,26,109
11.18,0,Housewares,Urban,13.26,12.16,Summer,Sun,149,0,31,125
9.04,0,Food,Urban,18.04,8.76,Spring,Sat,199,0,12,105
11.52,1,Food,Urban,12.98,13.18,Fall,Fri,92,1,1,219
15.95,0,Electronics,Urban,9.72,16.96,Winter,Thu,109,0,46,129
14.4,0,Electronics,Suburban,4.1,13.47,Spring,Wed,124,0,12,90
16.14,0,Clothing,Urban,10.63,17.17,Winter,Mon,188,1,39,126
14.18,0,Electronics,Urban,8.49,14.5,Winter,Sat,104,1,8,138
17.93,0,Housewares,Suburban,8.15,19.19,Fall,Sat,67,0,39,87
13.07,0,Electronics,Urban,7.67,10.09,Spring,Tue,82,0,24,104
19.63,0,Clothing,Urban,9.52,19.07,Fall,Sun,134,0,45,100
11.89,0,Housewares,Urban,8.92,11.76,Fall,Sun,131,0,37,125
11.89,0,Electronics,Urban,8.05,12.15,Spring,Sun,100,1,37,108
9.8,0,Food,Suburban,7.02,10.34,Fall,Sun,154,1,19,133
7.95,0,Electronics,Rural,13.11,9.63,Spring,Tue,129,0,8,89
12.67,0,Food,Suburban,2.6,12.27,Fall,Sun,111,1,47,129
11.49,1,Food,Suburban,4.49,11.02,Summer,Sun,81,0,29,212
7.91,0,Housewares,Suburban,8.19,8.6,Winter,Sat,141,0,6,91
15.09,0,Clothing,Urban,8.82,14.16,Winter,Sat,170,1,26,130
15.87,1,Food,Urban,13.56,13.67,Fall,Sat,60,0,9,246
15.67,1,Electronics,Suburban,14.36,15.69,Spring,Tue,75,0,31,234
12.77,0,Food,Rural,19.94,13.45,Winter,Wed,78,1,18,119
15.59,1,Food,Urban,7.07,16.15,Summer,Wed,116,0,35,230
21.38,0,Clothing,Urban,7.07,21.09,Summer,Sat,57,0,25,82
16.42,1,Clothing,Urban,13.58,16.28,Summer,Tue,94,0,17,240
10.32,0,Food,Urban,7.91,9.91,Fall,Mon,137,1,51,129
15.24,0,Housewares,Suburban,10.09,17.14,Summer,Fri,99,0,20,113
7.76,0,Clothing,Rural,8.44,8.48,Spring,Thu,157,1,40,113
9.44,0,Food,Urban,6.71,8.33,Fall,Fri,120,0,35,116
13.94,1,Clothing,Suburban,5.58,13.38,Spring,Fri,77,0,52,234
15.2,0,Food,Urban,10.9,14.37,Winter,Fri,73,0,25,98
17.47,0,Food,Urban,4.1,17.98,Winter,Sun,96,0,45,101
14.22,0,Clothing,Urban,9.11,13.1,Summer,Thu,118,0,11,116
8.34,1,Housewares,Urban,5.47,10.18,Summer,Thu,131,1,36,200
9.32,1,Food,Suburban,7.14,8.64,Winter,Mon,87,0,33,179
14.28,0,Food,Urban,12.09,13.91,Fall,Thu,88,0,41,102
13.56,0,Electronics,Suburban,3.03,13.37,Fall,Thu,103,0,36,103
15.04,0,Housewares,Suburban,11.17,13.67,Fall,Sun,113,1,35,107
11.35,0,Electronics,Suburban,10.63,12.2,Fall,Sun,112,1,25,128
13.53,0,Clothing,Rural,8.47,12.88,Fall,Fri,138,1,19,133
14.42,0,Clothing,Suburban,18.52,13.7,Spring,Thu,120,1,43,110
15.7,0,Clothing,Suburban,10.01,15,Fall,Sat,84,0,36,117
13.06,0,Electronics,Urban,13.02,11.79,Spring,Fri,132,1,2,130
13.18,0,Housewares,Suburban,7.62,13.35,Fall,Sat,96,1,4,118
13.64,0,Clothing,Suburban,5.85,12.31,Spring,Thu,98,1,14,111
16.61,0,Housewares,Suburban,6.51,17.09,Winter,Fri,105,0,46,102
17.17,0,Food,Urban,9.19,17.9,Fall,Thu,123,0,3,118
13.05,0,Clothing,Urban,9.58,11.72,Spring,Wed,176,0,36,118
12.37,1,Clothing,Rural,4.39,11.09,Fall,Wed,140,1,24,224
11.6,0,Housewares,Urban,6.16,13.27,Spring,Thu,103,1,1,129
5.98,1,Electronics,Suburban,10.24,5.12,Spring,Wed,129,0,14,147
10.21,0,Food,Urban,5.87,12.73,Fall,Sun,109,0,33,116
11.91,1,Clothing,Rural,11.56,13.34,Fall,Sat,128,0,7,224
11.66,1,Electronics,Rural,12.69,13.55,Spring,Mon,93,1,4,217
9.45,0,Food,Rural,24.26,10.05,Spring,Fri,89,0,12,95
7.73,0,Electronics,Urban,14.09,5.19,Winter,Sun,96,1,7,127
16.56,0,Housewares,Rural,8.8,17.03,Summer,Mon,125,0,47,115
9.04,1,Electronics,Suburban,11.12,9.94,Spring,Mon,87,1,23,206
15.06,0,Clothing,Urban,6.81,16.2,Summer,Tue,179,0,25,107
16.27,0,Electronics,Suburban,9.3,15.8,Spring,Sat,65,1,1,115
11.88,0,Electronics,Suburban,9.76,11.43,Summer,Tue,92,0,34,107
16.3,0,Food,Urban,16.01,19.83,Winter,Wed,83,1,39,132
10.21,0,Clothing,Suburban,4.98,11.5,Winter,Sun,158,1,18,119
13.24,0,Clothing,Suburban,6.11,14.6,Winter,Sat,150,0,9,97
16.49,0,Food,Suburban,8.11,16.89,Spring,Sun,116,1,25,114
14.29,0,Electronics,Suburban,4.83,12.91,Summer,Sat,83,0,21,109
14.07,0,Housewares,Urban,9.38,14.47,Spring,Sun,96,0,28,111
11.94,0,Food,Urban,14.63,13.57,Winter,Fri,105,1,15,131
15.32,0,Food,Urban,7.8,13.24,Spring,Sat,84,0,6,94
12.53,0,Food,Urban,11.67,10.49,Winter,Sat,118,0,41,115
11.07,1,Food,Urban,17.14,10.26,Summer,Sun,136,0,52,212
12.92,0,Electronics,Suburban,5.32,13.31,Summer,Sun,103,1,27,120
12.57,0,Housewares,Urban,5.4,13.26,Winter,Sat,129,1,3,125
10.96,0,Food,Suburban,10.4,12.8,Fall,Sun,155,0,51,123
12.72,1,Clothing,Suburban,12.49,11.92,Fall,Sat,69,0,22,229
9.82,0,Food,Suburban,7.3,10.69,Winter,Tue,83,1,13,117
13.15,0,Clothing,Suburban,6,13.34,Fall,Mon,113,0,20,108
11.69,0,Housewares,Urban,5.39,9.69,Winter,Mon,105,0,3,77
11.3,0,Electronics,Urban,5.35,12.58,Summer,Sat,128,1,6,125
14.11,1,Electronics,Urban,9.35,14.85,Spring,Mon,169,0,28,240
6.97,1,Clothing,Rural,9.79,7.85,Winter,Fri,85,1,6,159
14.27,0,Food,Suburban,13.48,12.96,Spring,Tue,77,0,13,89
10.33,1,Food,Urban,3.7,10.84,Summer,Sat,98,1,25,188
9.29,0,Clothing,Urban,9,9.92,Winter,Wed,84,0,39,115
10.06,0,Electronics,Urban,7.75,10.81,Spring,Wed,71,0,9,100
8.8,0,Electronics,Rural,6.31,8.74,Winter,Sat,149,0,15,112
14.46,1,Electronics,Rural,8.36,14.37,Summer,Mon,102,0,20,230
13.09,0,Clothing,Suburban,4.57,13.91,Winter,Wed,189,0,39,121
14.08,1,Housewares,Suburban,13.45,11.77,Summer,Sat,137,1,49,229
12.52,0,Food,Suburban,11.97,9.14,Fall,Sun,113,1,50,109
11.01,1,Food,Urban,8.17,10.94,Spring,Thu,95,0,46,210
17.73,0,Food,Rural,5.78,17.21,Fall,Wed,77,0,18,94
11.41,1,Clothing,Urban,5.84,11.18,Summer,Fri,124,1,35,234
9.88,1,Food,Urban,10.51,8.61,Winter,Thu,220,0,43,207
10.95,0,Food,Suburban,6.09,10.79,Spring,Fri,98,1,7,97
15.01,0,Food,Suburban,4.58,16,Fall,Tue,108,0,41,111
13.67,0,Food,Suburban,15.67,14.61,Winter,Tue,164,1,8,114
7.74,0,Electronics,Urban,11.75,7.05,Winter,Mon,107,0,20,114
19.52,0,Clothing,Suburban,8.71,17.24,Spring,Sat,97,0,12,96
14.48,1,Clothing,Suburban,9.93,14.88,Spring,Tue,125,1,22,226
14.16,1,Housewares,Suburban,8.73,15.48,Fall,Fri,78,1,25,251
13.93,0,Food,Urban,9.43,16.31,Spring,Sun,119,1,12,113
15.22,0,Clothing,Urban,4.26,16.12,Spring,Sun,89,1,30,133
10.8,0,Food,Rural,3.59,11.8,Summer,Tue,154,0,3,100
20.62,0,Clothing,Urban,13.39,21.35,Winter,Wed,60,1,24,92
10.43,1,Food,Suburban,13.37,10.93,Spring,Fri,87,0,8,181
13.67,0,Clothing,Urban,6.13,14.14,Spring,Thu,86,0,2,109
14.02,1,Electronics,Rural,11.58,12.01,Fall,Mon,129,1,5,229
18.19,0,Clothing,Rural,6.86,17.1,Summer,Sat,51,0,33,95
11.49,0,Electronics,Rural,10.09,11.72,Spring,Sun,141,0,52,115
12.64,0,Clothing,Suburban,8.1,11.98,Summer,Wed,125,0,51,114
10.66,0,Electronics,Urban,8.66,10.92,Spring,Thu,86,1,18,133
6.32,0,Electronics,Urban,18.9,6.04,Summer,Wed,52,0,45,111
8.81,0,Food,Urban,14.67,9.69,Winter,Mon,112,1,19,101
22.7,0,Clothing,Suburban,4.35,21.54,Summer,Sat,100,1,29,87
16.81,0,Electronics,Suburban,4.26,17.54,Summer,Thu,139,1,15,119
11.85,0,Electronics,Urban,6.68,13.83,Winter,Sat,121,0,34,123
15.7,0,Clothing,Urban,12.03,14.01,Spring,Wed,103,1,48,114
12.78,0,Food,Rural,3.78,12.19,Summer,Fri,98,0,33,104
11.1,0,Food,Urban,6.09,11.34,Spring,Thu,95,1,47,121
12.54,0,Clothing,Suburban,7.1,11.05,Summer,Fri,203,0,26,106
10.61,0,Electronics,Suburban,3.9,11,Summer,Wed,110,0,35,107
15,1,Clothing,Suburban,7.78,13.27,Summer,Thu,102,0,31,231
8.62,0,Food,Suburban,12.23,6.42,Spring,Thu,100,0,46,85
11.13,0,Clothing,Suburban,6.1,11.32,Winter,Fri,99,0,25,108
13.16,0,Electronics,Urban,13.32,14.68,Fall,Sun,141,0,18,118
15.23,0,Food,Suburban,8.86,15.82,Winter,Thu,100,0,17,90
15.99,0,Food,Suburban,9.88,16.26,Winter,Sat,118,1,18,112
9.68,0,Food,Urban,5.82,9.01,Fall,Sun,140,0,9,110
12.23,0,Clothing,Suburban,11.68,13.29,Summer,Sat,79,0,2,118
10.43,1,Food,Suburban,7.56,8.77,Fall,Sat,120,1,34,215
15.47,0,Food,Urban,9.74,14.96,Spring,Sun,149,0,2,113
9.44,0,Electronics,Urban,17.15,12.02,Spring,Sun,93,0,12,121
10.59,1,Food,Rural,9.72,11.77,Spring,Fri,117,1,6,217
17.18,0,Food,Suburban,8.7,16.83,Spring,Tue,111,0,13,98
8.32,0,Food,Urban,5.93,7.09,Summer,Fri,111,1,46,97
13.22,0,Electronics,Urban,11.61,13.8,Spring,Wed,77,0,13,126
11.99,0,Electronics,Rural,7.29,11.27,Spring,Tue,137,1,44,119
8.92,0,Food,Suburban,9.73,7.85,Spring,Tue,141,0,42,86
9.46,1,Housewares,Rural,5.89,9.92,Fall,Sun,98,0,40,190
10.97,0,Housewares,Rural,7.64,12.46,Spring,Tue,105,1,33,115
16.43,0,Housewares,Urban,7.62,16.43,Spring,Thu,152,1,16,115
12.89,0,Electronics,Urban,7.86,11.2,Fall,Sat,113,1,6,114
9.17,0,Food,Rural,9.88,7.39,Fall,Fri,98,0,42,100
14.63,0,Food,Urban,7.25,15.39,Fall,Wed,174,0,52,123
14.47,1,Electronics,Urban,10.13,14.28,Winter,Wed,165,1,44,260
11.75,0,Electronics,Urban,17.14,12.74,Fall,Mon,198,0,46,129
11.05,0,Food,Urban,6.2,10.24,Spring,Fri,91,1,42,104
17.66,0,Electronics,Suburban,9.47,17.55,Summer,Sat,80,1,41,108
9.74,0,Food,Suburban,9.07,10.67,Winter,Thu,92,1,15,107
11.2,0,Food,Rural,12.22,9.93,Winter,Fri,163,0,1,105
12.48,0,Clothing,Suburban,10.28,13.55,Summer,Fri,96,0,10,126
9.42,0,Food,Suburban,10.2,7.04,Winter,Thu,169,0,26,93
9.55,0,Food,Urban,5.16,9.44,Winter,Fri,139,1,35,118
11.75,0,Food,Urban,7.83,10.05,Spring,Wed,105,0,24,98
17.66,1,Electronics,Urban,10.69,17.02,Spring,Mon,191,0,13,264
6.58,0,Food,Suburban,3.95,6.13,Spring,Mon,113,1,33,108
9.89,1,Housewares,Suburban,7.81,9.98,Winter,Tue,99,0,30,193
15.44,0,Food,Urban,3.71,16.2,Fall,Sat,117,0,46,113
15.49,1,Electronics,Suburban,9.49,12.97,Fall,Sat,111,1,33,243
9.48,0,Clothing,Suburban,3.49,8.58,Winter,Sat,97,0,4,94
13.76,1,Food,Suburban,4.19,13.05,Spring,Tue,153,1,2,214
13.05,0,Food,Urban,10.66,14.57,Spring,Mon,109,0,11,113
8.39,0,Food,Urban,9.66,9.42,Winter,Thu,164,0,10,93
13.67,1,Food,Rural,6.3,13.97,Summer,Sat,102,1,36,240
16.25,0,Food,Suburban,12.47,17.84,Spring,Sat,124,1,33,110
9.15,0,Clothing,Rural,13.62,7.04,Winter,Thu,116,1,43,86
10.25,0,Housewares,Suburban,12.98,10.48,Summer,Sun,89,1,18,114
19.12,1,Food,Suburban,2.28,18.94,Spring,Tue,70,1,47,245
15.9,0,Housewares,Urban,13.86,18.31,Spring,Sun,89,1,37,131
14.13,0,Electronics,Suburban,10.44,13.97,Fall,Mon,139,1,30,127
11.99,1,Electronics,Suburban,10.85,12.55,Winter,Mon,119,1,22,235
10.72,0,Housewares,Suburban,12.43,10.89,Spring,Sun,138,0,26,112
14.28,0,Electronics,Urban,8.13,12.67,Summer,Tue,80,1,50,119
12.05,0,Electronics,Suburban,4.56,11.64,Spring,Mon,82,0,48,91
11.08,0,Clothing,Rural,6.41,11.14,Spring,Sat,140,0,47,116
13.66,0,Food,Urban,6.94,13.55,Winter,Mon,188,0,31,122
16,1,Food,Suburban,7.02,16.7,Winter,Mon,153,0,48,233
6.8,0,Electronics,Urban,11.06,6.92,Spring,Wed,115,1,51,115
6.83,0,Food,Suburban,7.15,8.42,Winter,Sat,87,1,24,109
10.77,0,Clothing,Urban,20.37,11.5,Summer,Wed,65,0,8,129
13.87,0,Food,Suburban,13.69,12.36,Winter,Sun,123,1,5,112
10.12,0,Electronics,Urban,9.38,10.05,Spring,Sat,140,0,27,126
18.34,0,Electronics,Rural,10.56,16.23,Winter,Fri,60,0,12,98
13.03,1,Food,Suburban,3.79,13.69,Fall,Wed,149,1,39,246
9.46,1,Housewares,Rural,5.88,9.61,Fall,Sat,177,1,16,186
12.92,0,Food,Suburban,12.24,12.91,Spring,Sat,80,0,42,113
12.63,0,Housewares,Rural,3.04,12.51,Winter,Wed,130,1,33,102
9.49,0,Electronics,Suburban,19.23,8.32,Spring,Wed,120,1,46,125
13.43,0,Electronics,Suburban,10,14.22,Summer,Sun,69,0,39,122
19.92,0,Electronics,Rural,9.21,18.47,Spring,Tue,122,0,13,81
11.82,0,Housewares,Suburban,11.87,11.72,Summer,Fri,132,0,11,99
10.83,0,Food,Urban,8.74,10.15,Fall,Fri,126,0,41,124
12.23,1,Food,Rural,8.81,13.54,Fall,Mon,79,0,36,217
13.07,1,Food,Urban,8.91,13.99,Fall,Wed,86,1,51,245
13.53,1,Electronics,Rural,3.95,12.91,Fall,Tue,174,1,36,230
9.95,0,Food,Urban,6.49,9.57,Winter,Tue,159,1,21,114
10.3,1,Food,Rural,8.29,10.4,Summer,Mon,111,1,10,195
14.49,0,Food,Suburban,12.89,14.92,Fall,Sat,153,0,17,112
14.06,1,Electronics,Rural,7.38,13.65,Winter,Wed,86,1,12,250
12.26,0,Food,Suburban,5.05,11.97,Summer,Mon,149,0,35,110
6.43,0,Electronics,Urban,16.38,7.02,Summer,Sun,121,0,20,106
15.28,0,Food,Suburban,13.34,15.26,Summer,Thu,161,1,33,129
11.88,0,Clothing,Suburban,6.65,12.29,Summer,Sun,123,0,15,111
9.01,0,Food,Rural,8.97,9.38,Winter,Thu,77,1,7,106
12.57,1,Food,Suburban,11.61,12.81,Winter,Tue,115,1,1,223
12.71,0,Electronics,Rural,5.16,11.15,Summer,Sat,110,1,26,114
24.75,0,Electronics,Urban,7.56,25.99,Fall,Fri,181,0,9,72
